name,type,city_id,city,address,phone,single_phone,whatsapp,working_hours,latitude,longitude,description
Alazan 5 mərtəbə,PHARMACY,28,Bakı,"Şıxəli Qurbanov, 2/5",+994124977442,+994124977442,,,40.37629472340074,49.83243040238338,
Alazan Aptek-100,PHARMACY,28,Bakı,"Qara Qarayev, 74",+994125204030,+994125204030,,,40.409752,49.943385,
Aloe+,PHARMACY,28,Bakı,28 Mall 15a/4 Azadlıq prospekti Bakı 1010,+994 55 204 33 11,+994552043311,,,40.379192276465304,49.84731813806804,
Aloe+,PHARMACY,28,Bakı,"14 Fətəli Xan Xoyski, Bakı 1110",+ 994 55 204 33 99,+994552043399,,,40.40012723266531,49.85301321080063,
Aloe+,PHARMACY,28,Bakı,Bəhruz Nuriyev küçəsi 32 Bakı 1002,+994 99 204 44 03,+994992044403,,,40.40260683462452,49.95611670559637,
Aloe+,PHARMACY,28,Bakı,"İnşaatçılar m/s, 125a Abbas Mirzə Şərifzadə, Bakı 1138",+994 552044413,+994552044413,,,40.39065516958054,49.8031572896936,
Aloe+,PHARMACY,28,Bakı,İçərişəhər m/s 121 Lermontov küçəsi Bakı 1001,0992044408,0992044408,,,40.36757380347002,49.82981564423064,
Aloe+,PHARMACY,28,Bakı,52 Rəşid Behbudov Küçəsi Bakı 1014,+994 552047766,+994552047766,,,40.37777462459022,49.84535099783002,
Aptek Şirvan Azərimed,PHARMACY,44,Şirvan,Mərkəzi Xəstəxananın qapısının yanı,+994 021 2153468,+9940212153468,,,39.95207147968818,48.936841101123775,
Azərimed Aptek Quba-2,PHARMACY,40,Quba,"Heydər Əliyev pr.,  Avtovağzal ərazisi",+994 0233353589,+9940233353589,,,41.36117045818543,48.51088103029036,
Azərimed Aptek Şəki,PHARMACY,45,Şəki,"M.Rəsulzadə pr., Mərkəzi Xəstəxananın qarşısı",+994 2443956,+9942443956,,,41.19640053816484,47.1763922589906,
BAHAR OPTİK Optic Galery,PHARMACY,28,Bakı,"N.Yusifbəyli küç., 86",+994123100912,+994123100912,,,40.376398069753925,49.834691117538455,
Buta Bayıl,PHARMACY,28,Bakı,Əhəd Yaqubov 6,+994124911155,+994124911155,,,40.33910679000786,49.83511531325078,
Central Clinic,PHARMACY,28,Bakı,"Abşeron ray., Xırdalan şəh., H. Əliyev pr. 30, Khirdalan",+994 507776999,+994507776999,,,40.45302028726425,49.733207551566004,
Dədəmin Aptek,PHARMACY,30,Gəncə,"M.Abbas Abbaszadə küç.,Kukla Tetrın yaxınlığında",+994 552797365,+994552797365,,,40.673493639989594,46.3560809515783,
Ferromed,PHARMACY,28,Bakı,"Nizami r-nu,Q.Qarayev prospekti ev. 26 menzil15",+994554558597,+994554558597,,,40.417876948682036,49.933573740574516,
FOKUS OPTİKA MMC,PHARMACY,28,Bakı,Süleyman Rəhimov 50,+994124965000,+994124965000,,,40.37685317819669,49.83252021396715,
Göyçay Zəfəran,PHARMACY,42,Göyçay,Göyçay şəhəri Heydər  Əliyev prospekti,+994202746503,+994202746503,,,40.64925706785625,47.7478464562269,
Kanon,PHARMACY,28,Bakı,Nəsimi ra-nu Mirqasımov 2,+994 124494664,+994124494664,,,40.39249638479552,49.8329571095378,
MAJESTİK optika,PHARMACY,28,Bakı,"Azərbaycan pr.-ti, 5",+994124928437,+994124928437,,,40.37063636792733,49.83403744100859,
Mingəçevir/Xəmsə Aptek,PHARMACY,28,Bakı,Heydər Əliyev pr 51Q,+994 0242758871,+9940242758871,,,40.76880925872922,47.05587100224104,
Modern Aptek,PHARMACY,28,Bakı,"Babək pr.-ti, 86k",+994125700303,+994125700303,,,40.395538626266706,49.9481830668422,
Naturalist Zəfəran,PHARMACY,28,Bakı,"Səbayıl r.-nu, Ə.Cavad küç., 22",+994124922317,+994124922317,,,40.3686802539674,49.83108544112156,+994554558537
Quba-1 Azərimed Aptek,PHARMACY,40,Quba,Tofiq  Əhmədov küç Bazar ərazisi,+994 0233354684,+9940233354684,,,41.36410486329765,48.52812245005001,
Tonus Aptek,PHARMACY,28,Bakı,Səbail r-nu Bülbül pr ev7 Sahil metro çıxışı,+994 0125985279,+9940125985279,,,40.372127315491966,49.84430230376174,
Veqas Optika,PHARMACY,28,Bakı,"B.Sərdarov küç., 16",994124923939,994124923939,,,40.36865999178214,49.82778448485539,
Veqas Optika,PHARMACY,28,Bakı,"C.Məmmədquluzadə küç., 6",+994125111929,+994125111929,,,40.37910603080279,49.833359658022275,
Viktoriya Aptek,PHARMACY,28,Bakı,Təbriz küçəsi 17 Təfəkkür Universitetin yanı,+994 0125410521,+9940125410521,,,40.388189093090325,49.85200475156235,
Vitamin Aptek,PHARMACY,28,Bakı,Hüseynbala Əliyev küçəsi ev 4 m18 Antep Lahmacun ilə üzbəüz,+994 0124300014,+9940124300014,,,40.411249448201204,49.817365506130095,
Xaçmaz Zəfəran,PHARMACY,34,Xaçmaz,"52 Nəriman Nərimanov,",+994 23 3250122,+994233250122,,,41.46122617535676,48.79900759360195,
Zeferan Aptek &#34;20 Yanvar&#34;,PHARMACY,28,Bakı,1 Muzaffar Hasanov,+994 0124318700,+9940124318700,,,40.40424089981801,49.80637671108157,
Zeferan Aptek &#34;Lökbatan&#34;,PHARMACY,28,Bakı,"3A 28 May küçəsi, Lökbatan",+994 0124455573,+9940124455573,,,40.32236382878484,49.73098673621735,
Zeferan Aptek Göyçay,PHARMACY,42,Göyçay,"Heydər Əliyev pr., Kapital bankla üzbəüz",+994 0202746503,+9940202746503,,,40.64921473205518,47.748001649284625,
Zeytun 139,PHARMACY,28,Bakı,"Azadlıq pr., 753",+994502642 524,+994502642524,,,40.38769353156411,49.843577863358995,
Zəfəran 5 №-li xəstaxana,PHARMACY,28,Bakı,"Fətəli Xan Xoyski küç.,130",+994125645800,+994125645800,,,40.402994373315096,49.86221793738305,
Zəfəran Aptek,PHARMACY,28,Bakı,Zərifə Əliyeva 5 MKX yanı,+994 0124939971,+9940124939971,,,40.36868413331122,49.839254180262536,
Zəfəran Aptek Bərdə,PHARMACY,47,Bərdə,Üzeyir Hacıbəyov küçəsi,9940202050320,9940202050320,,,40.37283555128953,47.12617942843945,
Zəfəran Aptek Gəncə,PHARMACY,30,Gəncə,Ə.Məmmədov 3N-li TTYX yanı,+994 022 2564277,+9940222564277,,,40.696266749797225,46.38265427144358,
Zəfəran Aptek Kardio &#34;MKX&#34;,PHARMACY,28,Bakı,Parlament Prospekti 76,+994 0124927919,+9940124927919,,,40.36159967010152,49.82463646142241,
Zəfəran Aptek Neftçilər Xəstəxanası,PHARMACY,28,Bakı,Mehdi Mehdizadə küç.,+994124895185,+994124895185,,,40.3804064337147,49.86386419544618,
Zəfəran Aptek Qazax,PHARMACY,46,Qazax,Heydər Əliyev 114 A,+994 0222955631,+9940222955631,,,41.09297362939413,45.36612632639909,
Zəfəran Aptek Əhmədli,PHARMACY,28,Bakı,"Məhəmməd Hadi küç., 23/24",+994 123760415,+994123760415,,,40.38802502182864,49.95464737661878,
Zəfəran Aptek- Qusar-2,PHARMACY,28,Bakı,Qusar rayon xəstəxananın yanı,+994 0233855826,+9940233855826,,,41.42438871305577,48.44876427561206,
Zəfəran Enterol Aptek,PHARMACY,28,Bakı,"Xətai r-nu,M.Hadi  küç 41",+994 0123760361,+9940123760361,,,40.387411236944075,49.95344069047986,
Zəfəran Favorit  Aptek,PHARMACY,28,Bakı,"Sabunçu r-nu, Bakıxanov qəs., Sülh küç 1D",+994 0124296651,+9940124296651,,,40.41775260945409,49.960313300290636,
Zəfəran Lutemax Aptek,PHARMACY,28,Bakı,Abbas Mirzə Şərifzadə,+994 0124323993,+9940124323993,,,40.38405304636669,49.803887780397545,
Zəfəran Lənkəran,PHARMACY,37,Lənkəran,"Nizami küç., ev 89",+994 0252544994,+9940252544994,,,38.75909973855131,48.83853496985636,
Zəfəran Mərdəkan,PHARMACY,28,Bakı,Mərdəkan,+994 0124548289,+9940124548289,,,40.48715636828353,50.16457230739104,
Zəfəran Nar Aptek,PHARMACY,28,Bakı,63 Ağa Neymətulla,+994 0125648786,+9940125648786,,,40.407668143857734,49.867921419565825,
Zəfəran Okean Aptek,PHARMACY,28,Bakı,Basti Baghirova 14,+994 0124368457,+9940124368457,,,40.38416906404882,49.825625642603164,
Zəfəran Oskar Aptek,PHARMACY,28,Bakı,"Binəqədi ray-nu, Mir Cəlal küç 72",+994 0125604720,+9940125604720,,,40.421007621307076,49.814878389688644,
Zəfəran Sahil 1 (Primorski 1),PHARMACY,28,Bakı,Sahil qəs Məhərrəm Seyidov küç,+994 0124469799,+9940124469799,,,40.229647498821244,49.581975022039586,
Zəfəran Sahil 2 (Primorski 2),PHARMACY,28,Bakı,Ümid qəsəbəsi,+994 0124466433,+9940124466433,,,40.225051186469884,49.576889555528815,
Zəfəran Sumqayıt,PHARMACY,29,Sumqayıt,Heydar Aliyev Pros,+994 0186440929,+9940186440929,,,40.58437246252202,49.67287249143244,
Zəfəran Səma Aptek,PHARMACY,28,Bakı,Şövkət məmmədova küçəsi,+994 0125626116,+9940125626116,,,40.42172365609169,49.84641147855211,
Zəfəran Səməd Vurğun aptek,PHARMACY,28,Bakı,Səməd Vurğun 108 Neptun marketdən sola Asəf Zeynallı musiqi kollecin yanı,+994 0124415646,+9940124415646,,,40.39225676402475,49.835436076780525,
Zəfəran XMSK,PHARMACY,28,Bakı,"Səbail r-nu, Badamdar şosse 31",+994124935111,+994124935111,,,40.35286265673126,49.80933580116334,
32 GÖZƏL,DENTAL,28,Bakı,Azərbaycan pr.12,+994125967313,+994125967313,,,40.371552,49.833763,+994124087880
AQS DENTAL CENTER LTD,DENTAL,29,Sumqayıt,"13 mkr.13, ev 55",+994184485665,+994184485665,,,40.566993,49.695843,
BAKU DENT,DENTAL,28,Bakı,"Nərimanovi r.-nu, C.Hacıbəyli küç., 38",+994125647740,+994125647740,,,40.401210,49.841775,+994507071017
PRO DENTAL MMC,DENTAL,28,Bakı,"Bakı şəh., Salatın Əsgərova küç. 162A",+994509901666,+994509901666,,,40.3800904,49.8379188,
Billur Dent 32 Beauty,DENTAL,28,Bakı,"Məmməd Araz, 63",+994125613280,+994125613280,,,40.40658276434617,49.8445011411967,
DENT İNN,DENTAL,28,Bakı,Sabit Rəhman 225-B,+994513222233,+994513222233,,,40.399701,49.831914,
DENTAL ARTS STUDİO,DENTAL,28,Bakı,"Məmməd Araz küç., ev 111x",+994125610191,+994125610191,,,40.410628,49.846687,+994125612999
DENTAL STUDİO,DENTAL,28,Bakı,6 Mehbali Zeynalabdiyev,+994125982887,+994125982887,,,40.380283,49.856547,+994505323036
DOCTOR DENT,DENTAL,28,Bakı,"Səbail r.-nu, Mətbuat pr.-ti, ev 2A",+994125370038,+994125370038,,,4035962,4982255,+994503143377
Müasir Stomatologiya SA,DENTAL,29,Sumqayıt,14-21 Nizami küç,+994502771170,+994502771170,,,40.594311,49.669442,
Muğan Firması Sağlam Diş Dental Clinic,DENTAL,28,Bakı,49 B Tbilisi prospekti,+994125203151,+994125203151,,,40.39507,49.81736,+994125203161
NEO DENTAL,DENTAL,28,Bakı,"Binəqədi r.-nu, H.Əmiroğlu küç. 3073,məh.55C",+994124644922,+994124644922,,,4041296,4983816,+994512911595
ONLY DENT,DENTAL,28,Bakı,"Yasamal, Mirəli Seyidov küç., 3138 ci məh..",+994125050717,+994125050717,,,40.375894,49.807183,+994503838000
SWISSDENT KLİNİKASI,DENTAL,28,Bakı,"34 Abbas Mirzə Şərifzadə küçəsi, Bakı 1138",+994998303200,+994998303200,,,4037468,4980516,
Z DENT,DENTAL,28,Bakı,Park Atatürk,+994553330337,+994553330337,,,40.412645,49.847126,+994125633303
AİDA Tibb Mərkəzi,CLINIC,28,Bakı,"S.Rüstəmov və H.Sarabski küçələrinin kəsişməsi, 657-ci məhəllə",+994124416696,+994124416696,,,40.3881617,49.8392809,
ASSMED,CLINIC,28,Bakı,"Lökbatan qəs., D.Bunyadzadə küç., Ev 3a",+994124451818,+994124451818,,,40.3202134,49.7324291,
ATLAS Tibb Mərkəzi,CLINIC,28,Bakı,"Nərimanov,Xətai,39",+994124969606,+994124969606,,,40.387398400000016,49.85647429999995,"+994124969607, +994124969608, +994124969522"
ATU Tədris Cərrahiyyə Klinikası,CLINIC,28,Bakı,"Nəsimi rayonu M. Mirqasımov küç., 2",+994124498254,+994124498254,,,40.392399,49.8339787,+994124400126
ATU Tədris Terapevtik Klinikası,CLINIC,28,Bakı,"Mərdanov qardaşları, 100",+994124413348,+994124413348,,,40.396706,49.831777,+994124413318
AYSMED MEDİCAL CENTER,CLINIC,28,Bakı,Məhəmməd Hadi  2,+994123709224,+994123709224,,,40.394492,49.952751,+994123709225 +994552524047
Bakı Patologiya Mərkəzi,CLINIC,28,Bakı,"Nəsimi ray., S.Rüstəm, ev 17",+994124041404,+994124041404,,,40.411928,49.862159,+994125644284
Bakı Sağlamlıq Mərkəzi Publik Hüquqi Şəxs,CLINIC,28,Bakı,"Azadlıq pr., 112",+994124400057,+994124400057,,,40.398404,49.839640,+994512297070
Baku Medical Plaza Babək Filialı,CLINIC,28,Bakı,Babək pr 42 N,+994124044190,+994124044190,,,40.3949123,49.9635127,
Batı Göz(Medical Plaza  MMC),CLINIC,28,Bakı,Vaqif prospekti 75A,+994123104033,+994123104033,,,40.392553,49.843024,+994514014747
Bonum Medical,CLINIC,45,Şəki,"90 Zərifə Əliyeva, Şəki 5500",+994 506630088,+994506630088,,,41.15727784207412,47.1784901635417,
Caspian International Hospital,CLINIC,28,Bakı,"Badamdar qəsəbəsi 1-ci yaşayış massivi, 31",+994125025016,+994125025016,,,40.343291,49.810171,
CELAMİG LTD,CLINIC,28,Bakı,"S.Rəhimov küç., 126/64",+994125371101,+994125371101,,,40.3782244,49.8351393,
Central Clinic,CLINIC,41,Xırdalan,"Abşeron, Xırdalan, H.Əliyev prospekti 30 , ev 14",+994507776999,+994507776999,,,40.452867,49.733334,
Dentamed Estetik,CLINIC,28,Bakı,"3 Koroğlu Rəhimov küçəsi, Bakı",0502821333,0502821333,,,40.395849702944496,49.85956025156282,
Dialab Tibb Mərkəzi,CLINIC,28,Bakı,"İstiqlaliyyət küç., 1",+994124922056,+994124922056,,,40.368379,49.832587,+994503526970
Diaqnoz Tibb Mərkəzi,CLINIC,28,Bakı,Sarayevo küç. 28C,+994123700666,+994123700666,,,40.3862893,49.9635414,+994123704111
Dr.Kamal Klinika,CLINIC,28,Bakı,"7 Eldar Tağızadə küçəsi, Bakı",+994 123105231,+994123105231,,,40.386747093203326,49.84705717493113,
DTX HƏRBİ-TİBB İDARƏSİ,CLINIC,28,Bakı,"Badamdar qəs., Məktəbli küç., 1",+994124057399,+994124057399,,,40.363871,49.822917,
Dünya Göz Azərbaycan,CLINIC,28,Bakı,Səbail R. M. Üseynov küç. 39,+994124044469,+994124044469,,,40.349380,49.835864,
Ege Hospital,CLINIC,28,Bakı,"H.Əliyev küç., 38",+994125991117,+994125991117,,,40.3990525,49.8354792,
ELLAB DIAGNOSTIC,CLINIC,28,Bakı,"44 Aşıq Molla Cümə,",+994 553105205,+994553105205,,,40.40817819907886,49.86000441108174,
Endokrin Mərkəz,CLINIC,28,Bakı,"Nərimanov rayonu, Həsənoğlu küçəsi, 16a",+994125144502,+994125144502,,,40.397939,49.869871,"+994125144501, +994702102344, +994502102344"
EuroMed Tibb merkezi,CLINIC,28,Bakı,"Cavadxan küç., 17A",+994124319341,+994124319341,,,40.412194,49.814400,+994124319598
Funda Hospital,CLINIC,28,Bakı,"İ.Hidayətzadə, 163",+994125662844,+994125662844,,,40.394040,49.872181,
German Hospital,CLINIC,28,Bakı,İ.Qurtqaşımlı 51,+994125386660,+994125386660,,,40.369497,49.820981,+994415386662
Gəncə Müalicə Diaqnostika Mərkəzi,CLINIC,30,Gəncə,"Nizami rayonu, Totanlı küçəsi 17",+994222640909,+994222640909,,,40.659427,46.338585,
Gəncə UltraLab (Sağlam Ailə),CLINIC,30,Gəncə,"Azərbaycan Bayrağı küç., İmperial şadlıq sarayının yanı",+994051022310,+994051022310,,,40.68709,46.38009,
Hayat Clinic,CLINIC,28,Bakı,"Yasamal r., Mətbuat pr., 35A, məhəllə 3141",+994124041404,+994124041404,,,40.377619,49.808919,
HB Güven Klinik,CLINIC,28,Bakı,"Atatürk pr., 3078",+994124361496,+994124361496,,,40.416592,49.844631,"+994124364841, +994507667888, +994552257888"
InterDent,CLINIC,28,Bakı,"36 Daghistan, Bakı 1007",+994 0552627573,+9940552627573,,,40.387576729707654,49.84660342457451,
International 2 Medical Center,CLINIC,28,Bakı,Ashig Molla Juma 32,+994125665578,+994125665578,,,40.402929,49.864794,
International medical Centre 1,CLINIC,28,Bakı,"Rasul Rza   24 , Baku 1005",+994125961316,+994125961316,,,40.374920,49.838054,+994125964450
İstanbul NS Klinika,CLINIC,28,Bakı,Mustafa Kamal Ata-Türk pr-ti ev 140,+994124658500,+994124658500,,,40.412758,49.846948,
İstanbul NS Klinika,CLINIC,28,Bakı,140 Atatürk prospekti,+994 554678500,+994554678500,,,40.41297332400774,49.84709170923445,
Koreya Şərq Təbabəti Klinikası     SEBA FİTO,CLINIC,28,Bakı,Neftçilər pr 65,+994124371810,+994124371810,,,40.36011,49.83347,
Lanset-Cərrahliq Klinikası,CLINIC,28,Bakı,"Nərimanov r.-nu, Sabit Rəhman, ev 35",+994124484702,+994124484702,,,40.400340,49.835817,
Leyla Medical Center,CLINIC,28,Bakı,"Y.Səfərov küç., 19",+994124965106,+994124965106,,,40.382082,49.862593,
Liman Klinikası,CLINIC,29,Sumqayıt,"6-cı mikrorayon, S. Vurğun küç., 35 A",+994502352434,+994502352434,,,40.580291,49.689685,+994186420209; +994186426151
Liv Bona Dea Hospital,CLINIC,28,Bakı,"2 Mehdi Abbasov, Baku 1060",+994125290900,+994125290900,,,40.4126692639456,49.93042432979307,Sığorta müqaviləsinin təminatına əsasən
Lor Hospital,CLINIC,28,Bakı,"Nərimanov r.-nu, Ə.Rəcəbli, 19K",+994125645333,+994125645333,,,40.409591,49.863299,
Mayomed Sağlık Hizmetleri Ticaret Limited Şirketi,CLINIC,28,Bakı,Əhməd Rəcəbli  205,+994505449200,+994505449200,,,40.412960,49.860673,
MEDERA HOSPITAL,CLINIC,28,Bakı,"Binəqədi ray., Əcəmi Naxçıvani küç., 13C",+994125610303,+994125610303,,,40.416437,49.841603,+994702750333
MEDICAN  MMC,CLINIC,37,Lənkəran,"20 Yanvar küç., 71",+994252550298,+994252550298,,,38.754602,48.837669,"+994502660298, +994702550298"
Mediland,CLINIC,28,Bakı,"1188 məhəllə, Sabit Orucov 17C",+994124887450,+994124887450,,,40.3808253,49.8692689,994519403535
Mediplanet Klinikası,CLINIC,28,Bakı,"Yusif bəy İbrahimli, 1, Bakı, Səbail, AZ1001",+994124971250,+994124971250,,,40.368782,49.830803,"+994515221200, +994554271200"
Medservis Özəl Tibb Mərkəzi,CLINIC,28,Bakı,"C.Məmmədquluzadə küç., 3",+994124189944,+994124189944,,,40.379214,49.833217,+994124189948
Milana Medical,CLINIC,28,Bakı,"Nərimanov ray., Ə. Rəcəbli küç., 21/1",+994122102287,+994122102287,,,40.410542,49.862523,+994703553922
Milli Hematologiya və Transfuziologiya  Mərkəzi  PUBLİK HÜQUQİ ŞƏXSİ,CLINIC,28,Bakı,Ak. Mirəli Qaşqay 145,+994125642997,+994125642997,,,40.39733033477324,49.84114973261163,+994124405318
Milli İdman Tibb və Reabilitasiya Elmi-Praktiki İnstitutu,CLINIC,28,Bakı,"Olimpiya, ev 4a",+994124048310,+994124048310,,,40.39900260635423,49.855552026366404,
Modern Hospital,CLINIC,28,Bakı,Babək prospekti 2389,+994125703030,+994125703030,,,40.395563,49.948069,
Məlhəm Beynəlxalq Hospital,CLINIC,28,Bakı,C. Naxçıvanski 433,+994512017101,+994512017101,,,40.407654657905184,49.95473088218686,
Mərkəzi Klinik Xəstəxana,CLINIC,28,Bakı,"Parlament prospekti, 76",+994124921092,+994124921092,,,40.3614319,49.8248189,
Mərkəzi Neftçilər Xəstəxanası,CLINIC,28,Bakı,Y.Səfərov küç. 17,+994125210886,+994125210886,,,40.3808131,49.8633822,+994125111380
N-KAY M Klinik  MMC,CLINIC,34,Xaçmaz,"N.Nərimanov, 49 A",+994233251854,+994233251854,,,"41.46116995912276,",48.798223996742365,
Naxçıvan Diaqnostika-Müalicə Mərkəzi  publik hüquqi şəxsi,CLINIC,32,Naxçıvan,Əziz Əliyev 66,+994709940470,+994709940470,,,39.216688071664755,45.42059183793809,
NB Lazur Hospital,CLINIC,28,Bakı,"34 2-ci yaşayış massivi, 151 Badamdar şossesi,",0125024333,0125024333,,,40.34943696848648,49.81087273806639,
Nəbz Tibb mərkəzi,CLINIC,28,Bakı,"Qara Qarayev pr., 31",+994124213855,+994124213855,,,40.41785,49.93539,+99412421385556
Nəsrəddin Tusi adına Klinika,CLINIC,28,Bakı,"Həsən bəy Zərdabi, Bakı",+994502080255,+994502080255,,,40.39793,49.80537,+994124322416
OKİ  ÖZƏL TİBBİ MÜALİCƏXANASI,CLINIC,39,Qusar,"F.Musayev küç, 27",+994505971647,+994505971647,,,41.42583,48.43072,
OKSİGEN KLİNİK XƏSTƏXANASI,CLINIC,28,Bakı,"N.Nərimanov r.-nu, 1959-cu məh.",+994709060906,+994709060906,,,40.40372,49.87001,+994554715555
OLİMP HOSPİTAL,CLINIC,28,Bakı,8-10 İnşaatçılar pros,+994552207342,+994552207342,,,40.37584,49.81966,+994125388800
Radiofarma   Nüvə Təbabət Mərkəzi,CLINIC,28,Bakı,"Yasamal rayonu, M. Xiyabani 137",+994125332147,+994125332147,,,40.40023,49.79877,
REAL TİBB MƏRKƏZİ,CLINIC,29,Sumqayıt,14 Nəriman.Nərimanov Sumqayıt 5007,+994186424580,+994186424580,,,40.58043,49.68099,+994125851269
REFERANS 36.6 Med Gəncə filialı,CLINIC,30,Gəncə,Atatürk pr.120 B,+994515926366,+994515926366,,,40.70158,46.35811,+994222522366
Referans Klinik Laboratoriya Mərkəzi,CLINIC,28,Bakı,"Nərimanov r., M.Məmmədzadə küç., 8A",+994123100033,+994123100033,,,40.40311,49.87317,+994123100022
REFERANS Quba Tibb Mərkəzi,CLINIC,40,Quba,"Molla Pənah Vaqif küç ,Quba 4024",+994773580033,+994773580033,,,41.36147,48.52186,
REFERANS Qəbələ Tibb Mərkəzi,CLINIC,36,Qəbələ,"Abbas Səhhət 25 A ,Qəbələ 3602",+994773790033,+994773790033,,,40.96723,47.84329,+994186550333
Respublika Diaqnostika Mərkəzi,CLINIC,28,Bakı,147 Tbilisi prospekti,+994125309029,+994125309029,,,40.39986,49.81038,+994125308215
Saf Hospital,CLINIC,28,Bakı,Y.V.Çəmənzəmənli küç 18,+994124410301,+994124410301,,,40.40149500000001,49.83197269999998,
SAĞLAM AİLƏ   Mikrorayon Ultralab,CLINIC,28,Bakı,128 Rəşid Behbudov,+994124401300,+994124401300,,,40.38275,49.84335,
SAĞLAM AİLƏ   Nərimanov filialı,CLINIC,28,Bakı,"C.Cabbarlı küç., 24, Ə.Rəcəbli 3, küçə 10",994124414971,994124414971,,,40.40956,49.86204,910
SAĞLAM AİLƏ Sumqayıt,CLINIC,29,Sumqayıt,Cəfər Cabbarlı 8 C 1st mkr,+994186420869,+994186420869,,,40.58602,49.68220,
SAĞLAM HƏYAT,CLINIC,36,Qəbələ,"H.Əliyev küç , Qəbələ 3600",+994706330360,+994706330360,,,40.97658,47.85348,+994242050346
ŞANS Tibb Mərkəzi,CLINIC,30,Gəncə,Müseyib Bağırov küç.,+994702576663,+994702576663,,,40.67864,46.37565,+994222576663
Spero Hospital,CLINIC,28,Bakı,1B  20 Yanvar,+994124304303,+994124304303,,,40.41169,49.80381,+994124304277
Starlab tibb mərkəzi,CLINIC,28,Bakı,5th mkr 20 Yanvar str 51 19A 20 Yanvar,+994 124311314,+994124311314,,,40.41292418640359,49.809820651563825,
Stimul.S Hospital,CLINIC,28,Bakı,"Sabunçu r.-nu, Bakıxanov qəs., Yavər Əliyev küç., 26",+994705502020,+994705502020,,,40.43380,49.95642,+994126563838
Sumqayıt Hospital,CLINIC,29,Sumqayıt,"12 mkr.Çerkassi küç,181",+994508000255,+994508000255,,,40.56312,49.68466,+994186568255
Sədəf Klinikası    Fatimə-H,CLINIC,28,Bakı,"Qaradağ r.-nu, Sahil qəs., B.Əliyev küç., 33",+994124463201,+994124463201,,,40.22222,49.57444,+994554023201
ŞƏFA MÜALİCƏVİ DİAQNOSTİKA MƏRKƏZİ,CLINIC,28,Bakı,"H.Zərdabi pr.-ti, 84",+994124483811,+994124483811,,,40.39586,49.80686,+994554483811
SƏHHƏT Azərbaycan-Almaniya Klinikası,CLINIC,28,Bakı,"Nizami ray.,103 Q.Qarayev",+994124478555,+994124478555,,,40.39614,49.953994,
TOFİQOĞLU TİBB MƏRKƏZİ,CLINIC,34,Xaçmaz,N.Nərimanov 52,+994233255593,+994233255593,,,41.46126215042535,48.79897018968727,+994233250700
TURAN-97,CLINIC,28,Bakı,"Xətai r.-nu, Əhmədli qəsəbəsi, Sarayevo küç., 184",+994123700524,+994123700524,,,40.38640,49.95926,+994125702216
Turk American Medical Center,CLINIC,28,Bakı,"Yusif Vəzir Çəmənzəminli küç., 18",+994502224459,+994502224459,,,40.40190,49.83352,+994124973784
ULTRA MED Tibb Mərkəzi,CLINIC,28,Bakı,"Xətai r.-nu, 45 Məhəmməd Hadi",+994504018910,+994504018910,,,40.38282,49.95452,+994552235856
Unikal Klinika,CLINIC,29,Sumqayıt,"Bakı küç. 37,44-cü məh",+994502852185,+994502852185,,,40.57618,49.67933,+994502852176
Uniklinika,CLINIC,28,Bakı,Kazım Kazımzadə 115,+994502090165,+994502090165,,,40.37695,49.81827,+994125108070
Vita Med Tibb Mərkəzi,CLINIC,35,Biləsuvar,224B Mirzə Fətəli Axundov,+994 252950008,+994252950008,,,39.4560784007144,48.5436359668528,
Vita Yasamal Buta,CLINIC,28,Bakı,"Ə.Ələkbərov, 97",+994125330476,+994125330476,,,40.39579,49.81604,
Xüsusi Müalicə Sağlamlıq Kompleksi,CLINIC,28,Bakı,Badamdar şossesi 31,+994124935111,+994124935111,,,40.35316,49.80926,+994702023000
YAŞAM TİBB MƏRKƏZİ,CLINIC,28,Bakı,"Nərimanov r.-nu, Fətəli Xan Xoyski, ev 112",+994124657223,+994124657223,,,40.40221,49.86093,+99450 531 74 31
YASAMAL HOSPİTAL,CLINIC,28,Bakı,Məhəmməd Xiyabani küçəsi 15V,+994124650102,+994124650102,,,40.39751,49.79167,+994775091101
YASAMAL Hospital,CLINIC,28,Bakı,Məhəmməd Xiyabani küçəsi 15V,+994 0125259133,+9940125259133,,,40.39762123946347,49.79161008039824,
Yeni Gəncə tibb Mərkəzi   İNTERMEDSERVİS,CLINIC,30,Gəncə,"Yeni Gəncə qəs., 28 May küç..",+994505590303,+994505590303,,,40.68535,46.33172,+994222543477
ZƏFƏRAN HOSPİTAL,CLINIC,28,Bakı,30 Asif Məmmədov,+994123100262,+994123100262,,,40.39455,49.88100,+994554558577
